"event.id","participant","type"
"1.3.2","BL","chapter"
"1.3.3","FT","chapter"
"1.3.3","LI","chapter"
"1.3.3","FA","chapter"
"1.3.3","BL","chapter"
"1.3.3","FV","chapter"
"1.3.3","DA","chapter"
"1.3.3","ZE","chapter"
"1.3.3","FN","chapter"
"1.3.4","FT","chapter"
"1.3.4","LI","chapter"
"1.3.4","FA","chapter"
"1.3.4","BL","chapter"
"1.3.4","FV","chapter"
"1.3.4","DA","chapter"
"1.3.4","ZE","chapter"
"1.3.4","FN","chapter"
"1.3.6","BL","chapter"
"1.3.6","FV","chapter"
"1.3.6","DA","chapter"
"1.3.7","FT","chapter"
"1.3.8","FT","chapter"
"1.3.8","LI","chapter"
"1.3.8","FA","chapter"
"1.3.8","BL","chapter"
"1.3.8","FV","chapter"
"1.3.8","DA","chapter"
"1.3.8","ZE","chapter"
"1.3.8","FN","chapter"
"1.3.9","FV","chapter"
"1.3.9","DA","chapter"
"1.3.9","ZE","chapter"
"1.3.9","FN","chapter"
"1.4.1","TM","chapter"
"1.4.1","FN","chapter"
"1.4.1","TH","chapter"
"1.4.3","CO","chapter"
"1.4.3","TH","chapter"
"1.4.3","TM","chapter"
"1.5.1","JV","chapter"
"1.5.2","JV","chapter"
"1.5.3","JV","chapter"
"1.5.4","MY","chapter"
"1.5.5","JA","chapter"
"1.5.6","FF","chapter"
"1.5.6","JV","chapter"
"1.5.6","JA","chapter"
"1.5.7","FF","chapter"
"1.5.8","VI","chapter"
"1.5.8","FN","chapter"
"1.5.9","VI","chapter"
"1.5.9","MT","chapter"
"1.5.9","FN","chapter"
"1.5.10","MT","chapter"
"1.5.10","FN","chapter"
"1.5.12","BM","chapter"
"1.5.12","FN","chapter"
"1.5.12","JA","chapter"
"1.5.13","FN","chapter"
"1.5.13","JA","chapter"
"1.5.13","JV","chapter"
"1.6.1","JV","chapter"
"1.6.1","FN","chapter"
"1.6.2","JV","chapter"
"1.6.2","JA","chapter"
"1.7.1","SP","chapter"
"1.7.1","SS","chapter"
"1.7.1","JV","chapter"
"1.7.1","FN","chapter"
"1.7.2","JV","chapter"
"1.7.2","SC","chapter"
"1.7.3","JV","chapter"
"1.7.4","JV","chapter"
"1.7.4","PO","chapter"
"1.7.5","JV","chapter"
"1.7.6","SS","chapter"
"1.7.6","FN","chapter"
"1.7.7","JV","chapter"
"1.7.8","JV","chapter"
"1.7.9","JV","chapter"
"1.7.9","JU","chapter"
"1.7.9","CH","chapter"
"1.7.9","BM","chapter"
"1.7.10","JU","chapter"
"1.7.10","CH","chapter"
"1.7.10","BR","chapter"
"1.7.10","CN","chapter"
"1.7.10","CC","chapter"
"1.7.10","JV","chapter"
"1.7.10","BM","chapter"
"1.7.11","JV","chapter"
"1.7.11","BR","chapter"
"1.7.11","CN","chapter"
"1.7.11","CC","chapter"
"1.7.11","JU","chapter"
"1.7.11","CH","chapter"
"1.8.1","SS","chapter"
"1.8.1","JV","chapter"
"1.8.1","FN","chapter"
"1.8.2","JV","chapter"
"1.8.2","FN","chapter"
"1.8.3","JV","chapter"
"1.8.3","FN","chapter"
"1.8.3","JA","chapter"
"1.8.4","JV","chapter"
"1.8.4","FN","chapter"
"1.8.4","JA","chapter"
"1.8.5","JV","chapter"
"1.8.5","PO","chapter"
"1.8.5","FN","chapter"
"1.8.5","SP","chapter"
"1.8.5","SS","chapter"
"1.8.5","JA","chapter"
"2.1.4","NP","chapter"
"2.1.7","NP","chapter"
"2.1.8","NP","chapter"
"2.1.9","NP","chapter"
"2.1.10","NP","chapter"
"2.1.19","TH","chapter"
"2.1.19","GP","chapter"
"2.2.1","JV","chapter"
"2.2.2","TH","chapter"
"2.2.2","BZ","chapter"
"2.3.1","CO","chapter"
"2.3.2","TH","chapter"
"2.3.2","TM","chapter"
"2.3.3","TM","chapter"
"2.3.3","CO","chapter"
"2.3.4","TM","chapter"
"2.3.4","CO","chapter"
"2.3.5","CO","chapter"
"2.3.6","JV","chapter"
"2.3.6","CO","chapter"
"2.3.7","CO","chapter"
"2.3.7","JV","chapter"
"2.3.8","TM","chapter"
"2.3.8","JV","chapter"
"2.3.8","CO","chapter"
"2.3.8","TH","chapter"
"2.3.8","EP","chapter"
"2.3.8","AZ","chapter"
"2.3.9","TM","chapter"
"2.3.9","JV","chapter"
"2.3.9","TH","chapter"
"2.3.10","TH","chapter"
"2.3.10","JV","chapter"
"2.4.1","CO","chapter"
"2.4.1","JV","chapter"
"2.4.2","CO","chapter"
"2.4.2","JV","chapter"
"2.4.3","CO","chapter"
"2.4.3","JV","chapter"
"2.4.3","LL","chapter"
"2.4.4","LL","chapter"
"2.4.4","JV","chapter"
"2.4.4","CO","chapter"
"2.4.5","JA","chapter"
"2.4.5","JV","chapter"
"2.4.5","CO","chapter"
"2.4.5","LL","chapter"
"2.5.1","CO","chapter"
"2.5.1","JV","chapter"
"2.5.2","CO","chapter"
"2.5.2","JV","chapter"
"2.5.3","CO","chapter"
"2.5.3","JV","chapter"
"2.5.4","CO","chapter"
"2.5.4","JV","chapter"
"2.5.5","CO","chapter"
"2.5.5","JV","chapter"
"2.5.6","CO","chapter"
"2.5.6","JV","chapter"
"2.5.7","CO","chapter"
"2.5.7","JV","chapter"
"2.5.8","JV","chapter"
"2.5.8","FF","chapter"
"2.5.9","JV","chapter"
"2.5.9","FF","chapter"
"2.5.10","JA","chapter"
"2.5.10","TH","chapter"
"2.5.10","LL","chapter"
"2.5.10","JV","chapter"
"2.6.7","MI","chapter"
"2.8.1","JV","chapter"
"2.8.1","FF","chapter"
"2.8.2","FF","chapter"
"2.8.2","MI","chapter"
"2.8.3","FF","chapter"
"2.8.3","MI","chapter"
"2.8.4","FF","chapter"
"2.8.4","JV","chapter"
"2.8.4","CO","chapter"
"2.8.5","GR","chapter"
"2.8.5","FF","chapter"
"2.8.6","JV","chapter"
"2.8.7","FF","chapter"
"2.8.7","GR","chapter"
"2.8.7","JV","chapter"
"2.8.8","FF","chapter"
"2.8.8","MI","chapter"
"2.8.8","JV","chapter"
"2.8.9","FF","chapter"
"2.8.9","JV","chapter"
"3.1.8","JD","chapter"
"3.1.8","BU","chapter"
"3.1.8","GA","chapter"
"3.2.1","GI","chapter"
"3.2.2","GI","chapter"
"3.2.3","GI","chapter"
"3.2.4","GI","chapter"
"3.2.5","GI","chapter"
"3.2.6","GI","chapter"
"3.2.6","MN","chapter"
"3.2.7","GI","chapter"
"3.2.8","MG","chapter"
"3.2.8","MP","chapter"
"3.2.8","MV","chapter"
"3.2.8","TG","chapter"
"3.2.8","GI","chapter"
"3.2.8","MA","chapter"
"3.3.1","BT","chapter"
"3.3.1","GI","chapter"
"3.3.1","MG","chapter"
"3.3.1","MA","chapter"
"3.3.2","GP","chapter"
"3.3.2","MP","chapter"
"3.3.2","MG","chapter"
"3.3.2","MA","chapter"
"3.3.3","BT","chapter"
"3.3.3","MA","chapter"
"3.3.4","GI","chapter"
"3.3.4","MA","chapter"
"3.3.4","GP","chapter"
"3.3.5","MA","chapter"
"3.3.5","MM","chapter"
"3.3.5","GI","chapter"
"3.3.5","MG","chapter"
"3.3.6","MA","chapter"
"3.3.7","TG","chapter"
"3.3.7","MG","chapter"
"3.3.7","MA","chapter"
"3.3.8","GI","chapter"
"3.3.8","MG","chapter"
"3.3.8","MA","chapter"
"3.4.1","EN","chapter"
"3.4.1","CM","chapter"
"3.4.1","JP","chapter"
"3.4.1","FE","chapter"
"3.4.1","CR","chapter"
"3.4.1","BA","chapter"
"3.4.1","BO","chapter"
"3.4.1","JO","chapter"
"3.4.1","GT","chapter"
"3.4.2","MA","chapter"
"3.4.2","BO","chapter"
"3.4.2","CR","chapter"
"3.4.3","CR","chapter"
"3.4.3","MA","chapter"
"3.4.3","EN","chapter"
"3.4.4","GT","chapter"
"3.4.4","BO","chapter"
"3.4.4","JO","chapter"
"3.4.4","BA","chapter"
"3.4.5","CR","chapter"
"3.4.5","EN","chapter"
"3.4.5","MA","chapter"
"3.4.5","CM","chapter"
"3.4.6","CR","chapter"
"3.4.6","MA","chapter"
"3.5.1","MA","chapter"
"3.5.2","MA","chapter"
"3.5.3","MA","chapter"
"3.5.4","MM","chapter"
"3.5.4","PL","chapter"
"3.5.5","MM","chapter"
"3.5.6","GI","chapter"
"3.5.6","MG","chapter"
"3.5.6","TG","chapter"
"3.6.1","MA","chapter"
"3.6.1","CO","chapter"
"3.6.1","JV","chapter"
"3.6.2","MA","chapter"
"3.6.2","JV","chapter"
"3.6.2","CO","chapter"
"3.6.3","MA","chapter"
"3.6.3","CO","chapter"
"3.6.4","MA","chapter"
"3.6.5","MA","chapter"
"3.6.6","MA","chapter"
"3.6.6","CO","chapter"
"3.6.6","FT","chapter"
"3.6.7","MA","chapter"
"3.6.8","MA","chapter"
"3.6.8","CO","chapter"
"3.6.9","MA","chapter"
"3.7.3","GU","chapter"
"3.7.3","BB","chapter"
"3.7.3","QU","chapter"
"3.7.3","MO","chapter"
"3.8.1","MA","chapter"
"3.8.2","MA","chapter"
"3.8.3","MA","chapter"
"3.8.4","MA","chapter"
"3.8.4","TH","chapter"
"3.8.5","MA","chapter"
"3.8.6","TH","chapter"
"3.8.7","TH","chapter"
"3.8.7","EP","chapter"
"3.8.7","TM","chapter"
"3.8.8","TH","chapter"
"3.8.8","JV","chapter"
"3.8.8","CO","chapter"
"3.8.9","TH","chapter"
"3.8.9","JV","chapter"
"3.8.10","MA","chapter"
"3.8.11","MA","chapter"
"3.8.11","EP","chapter"
"3.8.12","TH","chapter"
"3.8.12","TM","chapter"
"3.8.13","MA","chapter"
"3.8.14","MA","chapter"
"3.8.14","JV","chapter"
"3.8.15","CR","chapter"
"3.8.15","BO","chapter"
"3.8.16","TH","chapter"
"3.8.16","TM","chapter"
"3.8.16","EP","chapter"
"3.8.16","AZ","chapter"
"3.8.17","TH","chapter"
"3.8.17","TM","chapter"
"3.8.18","TH","chapter"
"3.8.18","TM","chapter"
"3.8.18","JV","chapter"
"3.8.19","TH","chapter"
"3.8.19","TM","chapter"
"3.8.19","JV","chapter"
"3.8.20","TH","chapter"
"3.8.20","BB","chapter"
"3.8.20","GU","chapter"
"3.8.20","QU","chapter"
"3.8.20","JV","chapter"
"3.8.20","TM","chapter"
"3.8.20","JA","chapter"
"3.8.21","TH","chapter"
"3.8.21","JA","chapter"
"3.8.21","BB","chapter"
"3.8.21","TM","chapter"
"3.8.21","GU","chapter"
"3.8.21","QU","chapter"
"3.8.21","MO","chapter"
"3.8.21","JV","chapter"
"3.8.22","BU","chapter"
"3.8.22","GA","chapter"
"4.1.3","LP","chapter"
"4.1.4","LP","chapter"
"4.1.6","EN","chapter"
"4.1.6","CM","chapter"
"4.1.6","CR","chapter"
"4.1.6","GT","chapter"
"4.2.1","MA","chapter"
"4.2.3","MM","chapter"
"4.2.3","EP","chapter"
"4.2.4","MA","chapter"
"4.2.4","EP","chapter"
"4.3.1","JV","chapter"
"4.3.2","JV","chapter"
"4.3.4","JV","chapter"
"4.3.4","CO","chapter"
"4.3.5","JV","chapter"
"4.3.5","CO","chapter"
"4.3.6","CO","chapter"
"4.3.6","MA","chapter"
"4.3.7","JV","chapter"
"4.3.7","CO","chapter"
"4.3.8","JV","chapter"
"4.3.8","CO","chapter"
"4.4.1","JV","chapter"
"4.4.1","CO","chapter"
"4.4.2","MM","chapter"
"4.4.2","PL","chapter"
"4.4.2","MO","chapter"
"4.4.2","JV","chapter"
"4.5.1","CO","chapter"
"4.5.1","TG","chapter"
"4.5.2","JV","chapter"
"4.5.2","CO","chapter"
"4.5.3","CO","chapter"
"4.5.3","TS","chapter"
"4.5.4","MA","chapter"
"4.5.5","CO","chapter"
"4.5.6","CO","chapter"
"4.5.6","MA","chapter"
"4.6.1","TM","chapter"
"4.6.1","MN","chapter"
"4.6.2","GA","chapter"
"4.6.2","XA","chapter"
"4.6.2","XB","chapter"
"4.6.2","MO","chapter"
"4.6.3","BB","chapter"
"4.6.3","BJ","chapter"
"4.6.3","GU","chapter"
"4.6.3","TH","chapter"
"4.6.3","GA","chapter"
"4.8.1","CO","chapter"
"4.8.1","MA","chapter"
"4.8.2","CO","chapter"
"4.8.2","MA","chapter"
"4.8.3","MA","chapter"
"4.8.3","CR","chapter"
"4.8.3","CO","chapter"
"4.8.3","EP","chapter"
"4.8.4","EP","chapter"
"4.8.4","BB","chapter"
"4.8.4","BJ","chapter"
"4.8.4","GU","chapter"
"4.8.4","TH","chapter"
"4.8.4","QU","chapter"
"4.8.4","MO","chapter"
"4.8.6","MA","chapter"
"4.8.6","CO","chapter"
"4.8.7","GI","chapter"
"4.8.7","MG","chapter"
"4.8.7","MA","chapter"
"4.9.1","JV","chapter"
"4.9.2","MA","chapter"
"4.9.2","CR","chapter"
"4.9.2","EP","chapter"
"4.9.3","MM","chapter"
"4.9.3","PL","chapter"
"4.11.1","GA","chapter"
"4.11.2","GA","chapter"
"4.11.3","GA","chapter"
"4.11.4","CM","chapter"
"4.11.4","GA","chapter"
"4.11.4","CR","chapter"
"4.11.4","BA","chapter"
"4.11.5","CM","chapter"
"4.11.5","CR","chapter"
"4.11.5","BA","chapter"
"4.11.5","MM","chapter"
"4.11.6","CR","chapter"
"4.11.6","EP","chapter"
"4.12.1","HL","chapter"
"4.12.2","BO","chapter"
"4.12.2","JO","chapter"
"4.12.2","GT","chapter"
"4.12.2","HL","chapter"
"4.12.3","GA","chapter"
"4.12.3","BA","chapter"
"4.12.3","CR","chapter"
"4.12.3","BO","chapter"
"4.12.3","EN","chapter"
"4.12.3","FE","chapter"
"4.12.3","JO","chapter"
"4.12.3","GT","chapter"
"4.12.3","JP","chapter"
"4.12.4","BA","chapter"
"4.12.4","CR","chapter"
"4.12.4","HL","chapter"
"4.12.4","GA","chapter"
"4.12.4","EN","chapter"
"4.12.5","CR","chapter"
"4.12.5","EN","chapter"
"4.12.6","EN","chapter"
"4.12.6","CM","chapter"
"4.12.6","CR","chapter"
"4.12.6","JP","chapter"
"4.12.6","FE","chapter"
"4.12.6","BO","chapter"
"4.12.6","JO","chapter"
"4.12.6","BA","chapter"
"4.12.7","EN","chapter"
"4.12.7","JA","chapter"
"4.12.7","GA","chapter"
"4.12.8","QU","chapter"
"4.12.8","EN","chapter"
"4.12.8","CM","chapter"
"4.12.8","JP","chapter"
"4.13.1","MA","chapter"
"4.13.3","MA","chapter"
"4.14.1","EN","chapter"
"4.14.1","CM","chapter"
"4.14.1","GA","chapter"
"4.14.1","CR","chapter"
"4.14.1","BO","chapter"
"4.14.1","JO","chapter"
"4.14.1","BA","chapter"
"4.14.1","FE","chapter"
"4.14.1","MM","chapter"
"4.14.2","MM","chapter"
"4.14.3","EN","chapter"
"4.14.3","JA","chapter"
"4.14.3","CR","chapter"
"4.14.3","JP","chapter"
"4.14.3","CM","chapter"
"4.14.3","JO","chapter"
"4.14.3","BA","chapter"
"4.14.3","BO","chapter"
"4.14.3","GA","chapter"
"4.14.3","MA","chapter"
"4.14.4","MA","chapter"
"4.14.5","MA","chapter"
"4.14.5","CR","chapter"
"4.14.5","CM","chapter"
"4.14.5","BO","chapter"
"4.14.5","GA","chapter"
"4.14.5","EN","chapter"
"4.14.5","JA","chapter"
"4.14.6","MA","chapter"
"4.14.6","EP","chapter"
"4.14.7","MA","chapter"
"4.14.7","GA","chapter"
"4.15.1","JA","chapter"
"4.15.1","CO","chapter"
"4.15.1","TS","chapter"
"4.15.1","JV","chapter"
"4.15.2","JV","chapter"
"4.15.2","GA","chapter"
"4.15.3","JV","chapter"
"4.15.4","GA","chapter"
"5.1.2","EN","chapter"
"5.1.2","CM","chapter"
"5.1.2","CR","chapter"
"5.1.2","FE","chapter"
"5.1.2","JO","chapter"
"5.1.2","BO","chapter"
"5.1.3","EN","chapter"
"5.1.4","EN","chapter"
"5.1.4","CM","chapter"
"5.1.4","MA","chapter"
"5.1.4","JV","chapter"
"5.1.5","EN","chapter"
"5.1.6","EN","chapter"
"5.1.6","JA","chapter"
"5.1.6","JV","chapter"
"5.1.7","EN","chapter"
"5.1.7","BO","chapter"
"5.1.7","CR","chapter"
"5.1.7","CM","chapter"
"5.1.7","GA","chapter"
"5.1.8","MA","chapter"
"5.1.8","GA","chapter"
"5.1.8","EN","chapter"
"5.1.8","CM","chapter"
"5.1.9","EN","chapter"
"5.1.9","JV","chapter"
"5.1.10","CO","chapter"
"5.1.11","EN","chapter"
"5.1.11","GA","chapter"
"5.1.11","BO","chapter"
"5.1.11","JV","chapter"
"5.1.12","EN","chapter"
"5.1.13","EN","chapter"
"5.1.13","CR","chapter"
"5.1.14","CR","chapter"
"5.1.14","BO","chapter"
"5.1.14","EN","chapter"
"5.1.15","GA","chapter"
"5.1.15","CR","chapter"
"5.1.16","XA","chapter"
"5.1.16","XB","chapter"
"5.1.17","EN","chapter"
"5.1.17","CM","chapter"
"5.1.17","CR","chapter"
"5.1.18","EN","chapter"
"5.1.18","CM","chapter"
"5.1.18","BO","chapter"
"5.1.18","CR","chapter"
"5.1.18","FE","chapter"
"5.1.18","JV","chapter"
"5.1.18","JA","chapter"
"5.1.19","JV","chapter"
"5.1.19","JA","chapter"
"5.1.19","MA","chapter"
"5.1.19","EN","chapter"
"5.1.21","EN","chapter"
"5.1.21","MA","chapter"
"5.1.21","CR","chapter"
"5.1.21","BO","chapter"
"5.1.21","FE","chapter"
"5.1.21","CM","chapter"
"5.1.21","JO","chapter"
"5.1.22","EN","chapter"
"5.1.23","EN","chapter"
"5.1.23","GT","chapter"
"5.1.24","JV","chapter"
"5.1.24","MA","chapter"
"5.2.3","BS","chapter"
"5.2.4","BS","chapter"
"5.3.1","JV","chapter"
"5.3.1","MA","chapter"
"5.3.2","JV","chapter"
"5.3.2","MA","chapter"
"5.3.3","JA","chapter"
"5.3.3","TH","chapter"
"5.3.4","JV","chapter"
"5.3.4","MA","chapter"
"5.3.5","JV","chapter"
"5.3.5","MA","chapter"
"5.3.6","JV","chapter"
"5.3.6","MA","chapter"
"5.3.7","JV","chapter"
"5.3.7","MA","chapter"
"5.3.8","JV","chapter"
"5.3.8","TH","chapter"
"5.3.9","JV","chapter"
"5.3.9","JA","chapter"
"5.3.10","JV","chapter"
"5.3.10","JA","chapter"
"5.3.11","JV","chapter"
"5.3.11","JA","chapter"
"5.3.12","GI","chapter"
"5.3.12","MA","chapter"
"5.4.1","JA","chapter"
"5.5.1","BZ","chapter"
"5.5.2","MA","chapter"
"5.5.3","MA","chapter"
"5.5.3","GI","chapter"
"5.5.4","CO","chapter"
"5.5.4","MA","chapter"
"5.5.4","GI","chapter"
"5.5.4","JV","chapter"
"5.5.4","MG","chapter"
"5.5.5","JV","chapter"
"5.5.6","GI","chapter"
"5.5.6","MA","chapter"
"5.5.6","CO","chapter"
"5.5.7","MA","chapter"
"5.5.7","JV","chapter"
"5.5.8","MA","chapter"
"5.5.8","JV","chapter"
"5.6.1","MA","chapter"
"5.6.1","GI","chapter"
"5.6.1","CO","chapter"
"5.6.1","TH","chapter"
"5.6.1","AZ","chapter"
"5.6.2","MA","chapter"
"5.6.2","CO","chapter"
"5.6.2","JV","chapter"
"5.6.2","GI","chapter"
"5.6.2","MG","chapter"
"5.6.3","JV","chapter"
"5.7.1","MA","chapter"
"5.7.1","JV","chapter"
"5.7.1","CO","chapter"
"5.7.2","MA","chapter"
"5.8.1","JV","chapter"
"5.8.1","CO","chapter"
"5.8.2","JV","chapter"
"5.8.2","CO","chapter"
"5.8.3","JV","chapter"
"5.8.3","CO","chapter"
"5.8.4","JV","chapter"
"5.9.1","MA","chapter"
"5.9.1","CO","chapter"
"5.9.2","JV","chapter"
"5.9.3","JV","chapter"
"5.9.4","MA","chapter"
"5.9.4","TH","chapter"
"5.9.4","CO","chapter"
"5.9.5","JV","chapter"
"5.9.5","CO","chapter"
"5.9.5","MA","chapter"
